-2352,2896,1088
-1824,2456,280
-1128,2512,-232
-584,2056,-512
-360,1496,-432
-136,1080,-136
120,664,-72
144,-64,-80
384,-752,64
512,-1280,256
384,-1272,504
160,-1008,768
-80,-768,616
-544,632,-1696
-1528,2352,-2944
-2216,3216,-280
-2240,3368,608
-1520,2792,432
-856,2248,-128
-368,1576,-176
-32,888,-136
192,216,80
264,-328,232
248,-928,408
256,-1176,672
216,-1104,896
64,-872,784
-24,-360,72
-360,680,-1192
-1024,2296,-2600
-1784,3184,-440
-1904,3512,480
-1488,2752,120
-848,2160,-424
-360,1608,-640
-80,1040,-616
176,-368,168
208,-712,488
272,-896,712
168,-944,840
-16,-784,784
-128,-472,456
-320,104,-560
-824,1576,-2464
-1696,2824,-1512
-2104,3448,-136
-1720,2880,64
-1032,2336,-232
-456,1896,-488
-128,1368,-576
56,856,-480
240,352,-264
272,-80,16
288,-424,352
272,-688,672
232,-792,816
136,-840,744
16,-808,504
-96,-504,-280
-384,624,-1480
-1792,3168,-1296
-2200,3560,-48
-1784,2976,-104
-1200,2352,-320
-656,1952,-584
-336,1352,-640
-136,720,-560
64,264,-424
72,112,-176
232,-192,48
352,-512,368
424,-704,624
312,-744,688
88,-632,680
-112,-480,888
-184,-216,808
-208,280,-216
-568,1240,-1608
-1384,2304,-2632
-1976,3120,-744
